level;time;correct;attempt;PlayerType;PlayerName;PlayerAlias;PlayerSkill;GuesserType;GuesserName;GuesserAlias;GuesserSkill; 
DM-TokaraForest;2014-6-19 12:0:00;no;18;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;19;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;20;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;21;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;22;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;23;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;24;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;25;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;26;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;27;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;28;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;29;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;30;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;31;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;32;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;33;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;34;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;35;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;36;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;1;human;Player;Santiago;0;bot;Conscious-Robots;Donnie;7;
DM-TokaraForest;2014-6-19 12:0:00;no;2;human;Player;Santiago;0;bot;Conscious-Robots;Donnie;7;
DM-TokaraForest;2014-6-19 12:0:00;no;3;human;Player;Santiago;0;bot;Conscious-Robots;Donnie;7;
DM-TokaraForest;2014-6-19 12:0:00;no;4;human;Player;Santiago;0;bot;Conscious-Robots;Donnie;7;
DM-TokaraForest;2014-6-19 12:0:00;no;37;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;38;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;39;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;40;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;70;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;71;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;72;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;73;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;74;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;75;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;76;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;77;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;78;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;79;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;1;human;Xenija;Todd;0;human;tmchojo;Moises;0;
DM-TokaraForest;2014-6-19 12:0:00;no;2;human;Xenija;Todd;0;human;tmchojo;Moises;0;
DM-TokaraForest;2014-6-19 12:0:00;no;80;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;3;human;Xenija;Todd;0;human;tmchojo;Moises;0;
DM-TokaraForest;2014-6-19 12:0:00;no;81;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;27;unknown;unknown;;0;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;no;28;unknown;unknown;;0;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;no;82;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;29;unknown;unknown;;0;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;no;4;human;Xenija;Todd;0;human;tmchojo;Moises;0;
DM-TokaraForest;2014-6-19 12:0:00;no;83;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;30;unknown;unknown;;0;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;no;31;unknown;unknown;;0;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;no;84;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;32;unknown;unknown;;0;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;no;5;human;Xenija;Todd;0;human;tmchojo;Moises;0;
DM-TokaraForest;2014-6-19 12:0:00;no;33;unknown;unknown;;0;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;no;34;unknown;unknown;;0;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;no;6;human;Xenija;Todd;0;human;tmchojo;Moises;0;
DM-TokaraForest;2014-6-19 12:0:00;no;85;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;86;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;87;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;88;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;89;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;1;bot;NizorBot;Hilario;7;human;Player;Gilberto;0;
DM-TokaraForest;2014-6-19 12:0:00;no;90;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;91;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;2;bot;NizorBot;Hilario;7;human;Player;Gilberto;0;
DM-TokaraForest;2014-6-19 12:0:00;no;92;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;93;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;94;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;95;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;yes;1;human;tmchojo;Moises;0;human;Player;Santiago;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;2;human;tmchojo;Moises;0;human;Player;Santiago;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;3;human;tmchojo;Moises;0;human;Player;Santiago;0;
DM-TokaraForest;2014-6-19 12:0:00;no;96;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;97;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;1;human;Player;Santiago;0;human;tmchojo;Moises;0;
DM-TokaraForest;2014-6-19 12:0:00;no;98;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;yes;1;bot;Conscious-Robots;Alexander;7;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;no;99;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;2;human;Player;Santiago;0;human;tmchojo;Moises;0;
DM-TokaraForest;2014-6-19 12:0:00;no;3;human;Player;Santiago;0;human;tmchojo;Moises;0;
DM-TokaraForest;2014-6-19 12:0:00;no;100;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;101;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;102;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;yes;4;human;Player;Santiago;0;human;tmchojo;Moises;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;5;human;Player;Santiago;0;human;tmchojo;Moises;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;6;human;Player;Santiago;0;human;tmchojo;Moises;0;
DM-TokaraForest;2014-6-19 12:0:00;no;4;human;tmchojo;Moises;0;human;Player;Santiago;0;
DM-TokaraForest;2014-6-19 12:0:00;no;5;human;tmchojo;Moises;0;human;Player;Santiago;0;
DM-TokaraForest;2014-6-19 12:0:00;no;103;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;104;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;105;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;106;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;107;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;108;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;109;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;110;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;111;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;yes;6;human;tmchojo;Moises;0;human;Player;Santiago;0;
DM-TokaraForest;2014-6-19 12:0:00;no;112;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;113;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;114;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;115;human;tmchojo;Moises;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;30;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;31;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;32;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;33;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;34;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;35;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;36;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;37;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;38;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;39;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;40;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;yes;7;human;Player;Santiago;0;human;tmchojo;Moises;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;8;human;Player;Santiago;0;human;tmchojo;Moises;0;
